 DATE        PS_LEVEL        PS_INNOV          PS_VWF
20080630    -0.111848927    -0.045543753      0.04509174
20080731    -0.176798737    -0.065161266    -0.057641314
20080829    -0.008383772     0.019174844    -0.006266196
20080930    -0.077545955      -0.2218006    -0.044317655
20081031    -0.238604531    -0.064582248    -0.099404023
20081128     0.068121079     0.126422091    -0.039448832
20081231    -0.303601536    -0.194392868    -0.003876525
20090130    -0.075240173    -0.182675651     0.210072741
20090227    -0.043236878      0.02468857     0.119711435
20090331    -0.096445214    -0.029331108    -0.094378073
20090430    -0.094681658    -0.040764995    -0.059392622
20090529    -0.064766613     0.072208321    -0.015492929
20090630    -0.040526684     0.017881864    -0.026897765
20090731     0.078367287     0.040636497     0.010199579
20090831     -0.02573635    -0.012054177    -0.086484927
20090930     0.009865995     0.065444828     0.092889193
20091030    -0.059164418      -0.0444638     0.057852225
20091130     -0.03354707     -0.00443934    -0.004055897
20091231     0.121220367     0.001484412     0.059339848
20100129     0.060304102     0.111961839    -0.036675351
20100226     0.017741358     0.036377596     0.007508379
20100331     0.017587213     0.030069819    -0.065201322
20100430    -0.046535967    -0.035176686    -0.007978192
20100528    -0.075339906    -0.019165607    -0.011669639
20100630    -0.060501484     0.007704458     0.016176701
20100730    -0.008153647      0.00750604     0.044285423
20100831     0.014978773     0.026620437     0.068833163
20100930    -0.033602421     0.082418568     0.044047931
20101029    -0.044943401    -0.052003539     0.051353698
20101130    -0.011305292     0.006507633     0.025923646
20101231     0.021312914     0.070412784    -0.019330793
20110131    -0.006743961      0.00101555     0.002904069
20110228    -0.011283194     0.006115159     0.011346816
20110331    -0.031546939     -0.01268217      0.03206399
20110429     0.013734044     0.024559533    -0.006472436
20110531     0.018578082     0.022982525    -0.010938294
20110630    -0.009129531     0.028004852    -0.001502524
20110729    -0.022752383      0.00773938     0.019813641
20110831    -0.058754623    -0.052825482    -0.042288497
20110930     0.025495592     0.048615398    -0.075368937
20111031    -0.045890671     0.020107629     0.078267712
20111130    -0.094145647    -0.023966739     0.027003892
20111230     0.008947916     0.051970612    -0.067774657
20120131     0.019560934     0.052429547    -0.023426706
20120229     0.031888505     0.010828742     0.019621765
